"","Record","Sale_amount","Sale_date","Beds","Baths","Sqft_home","Sqft_lot","Type","Build_year","Town","University","Type2"
"1",1,295000,42521,5,3,2020,38332.8,3,1976,1,10,3
"2",2,240000,42541,4,2,1498,54014.4,3,2002,1,10,3
"3",3,385000,42521,5,4,4000,85813.2,3,2001,1,10,3
"4",4,268000,42472,3,2.5,2283,118918.8,3,1972,1,10,3
"5",5,186000,42465,3,1.25,1527,15681.6,3,1975,1,10,3
"6",6,302500,42431,4,3,3117,33105.6,3,1976,1,10,3
"7",7,223000,42523,3,2,1218,25264.8,3,1975,1,10,3
"8",8,225000,42497,3,3,3000,30056.4,3,1969,1,10,3
"9",9,215000,42474,5,2,2963,14374.8,3,1965,1,10,3
"10",10,285100,42412,3,4,1680,48351.6,3,1987,1,10,3
"11",11,269000,42522,3,2,1682,43560,3,1932,1,10,3
"12",12,650000,42523,4,3.5,2535,82764,3,1998,1,10,3
"13",13,203500,42478,4,2,1277,10628,3,1970,1,10,3
"14",14,265000,42549,4,2.5,1340,10290,3,1998,1,10,3
"15",15,180000,42424,3,3.5,1709,13068,3,1991,1,10,3
"16",16,192000,42429,3,3,1470,8139,3,1995,1,10,3
"17",17,246500,42452,4,3.5,1776,8712,3,1996,1,10,3
"18",18,258000,42535,4,2.5,1752,9174,3,1996,1,10,3
"19",19,240500,42446,3,2.25,1502,6821,3,1985,1,10,3
"20",20,218000,42552,2,3.25,1864,28749.6,3,1978,1,10,3
"21",21,249000,42510,3,2.25,1381,13939.2,3,1983,1,10,3
"22",22,246000,42545,3,2.75,1969,11761.2,3,1977,1,10,3
"23",23,264000,42489,3,2,1660,13068,3,1979,1,10,3
"24",24,180000,42566,3,3,1277,10140,3,1975,1,10,3
"25",25,196000,42464,4,3,1768,10000,3,1973,1,10,3
"26",26,262000,42536,3,1.75,1650,14374.8,3,1900,1,10,3
"27",27,138000,42500,3,1,845,8712,3,1970,1,10,3
"28",28,143500,42500,2,1,858,7340,3,1971,1,10,3
"29",29,122000,42500,2,2,987,1680,3,1972,1,10,3
"30",30,145000,42410,2,2,836,2280,3,1977,1,10,3
"31",31,250000,42487,3,1.75,1462,10361,3,2005,1,10,3
"32",32,361000,42493,5,5,1800,14374.8,3,2007,1,10,3
"33",33,305000,42457,4,2.5,2363,13068,3,2004,1,10,3
"34",34,232500,42457,3,4,1560,11761.2,3,2005,1,10,3
"35",35,233500,42502,4,4,2531,10797,3,1999,1,10,3
"36",36,256000,42492,3,2.5,2035,9420,3,1999,1,10,3
"37",37,189000,42395,3,3,1320,7750,3,2003,1,10,3
"38",38,350000,42401,4,3.5,2166,13068,3,2000,1,10,3
"39",39,410000,42423,5,3.5,2759,10890,3,1994,1,10,3
"40",40,332000,42559,5,3.5,2197,10010,3,1993,1,10,3
"41",41,265000,42538,3,4,1728,8791,3,2003,1,10,3
"42",42,275100,42513,4,3,1455,20037.6,3,2003,1,10,3
"43",43,192500,42521,2,2.25,1472,8012,3,1992,1,10,3
"44",44,185000,42425,4,2.25,995,9343,3,1984,1,10,3
"45",45,140000,42424,3,2,926,7800,3,1984,1,10,3
"46",46,210000,42425,3,2.5,1603,8712,3,1992,1,10,3
"47",47,135500,42410,5,2,912,8020,3,1964,1,10,3
"48",48,318000,42495,4,3,2094,11325.6,3,1990,1,10,3
"49",49,343000,42446,5,3.5,2755,10500,3,1994,1,10,3
"50",50,345000,42426,3,3,1557,4356,3,1999,1,10,3
"51",51,315000,42527,3,2,1480,12632.4,3,1997,1,10,3
"52",52,278000,42528,3,4,1970,13068,3,1979,1,10,3
"53",53,265000,42493,3,3,1351,13503.6,3,1996,1,10,3
"54",54,168000,42471,3,2,1298,8712,3,1969,1,10,3
"55",55,237500,42446,4,2.5,2380,9979,3,1967,1,10,3
"56",56,260000,42500,3,3.25,1754,7501,3,2001,1,10,3
"57",57,237000,42426,3,1.75,1594,9548,3,1993,1,10,3
"58",58,205000,42542,2,2.5,1334,9650,3,1977,1,10,3
"59",59,252000,42461,4,2,2385,10819,3,1965,1,10,3
"60",60,187900,42559,3,3,1232,9600,3,1966,1,10,3
"61",61,178000,42409,3,3,1310,17859.6,3,1970,1,10,3
"62",62,169500,42465,3,2,1050,10659,3,1961,1,10,3
"63",63,180000,42507,2,2,1048,7395,3,1956,1,10,3
"64",64,189000,42395,3,2.5,1810,9900,3,1964,1,10,3
"65",65,181000,42485,3,2,1138,10382,3,1959,1,10,3
"66",66,225500,42496,3,3,2038,8800,3,1964,1,10,3
"67",67,177000,42426,3,2,1374,11325.6,3,1964,1,10,3
"68",68,92500,42545,2,1,670,3484,3,1945,1,10,3
"69",69,125000,42482,3,1.5,1252,7438,3,1908,1,10,3
"70",70,215000,42485,5,2,2800,9600,3,1953,1,10,3
"71",71,184000,42506,3,2,1650,10060,3,1955,1,10,3
"72",72,105000,42398,3,1.5,1073,8700,3,1956,1,10,3
"73",73,159500,42537,3,1,1144,8400,3,1961,1,10,3
"74",74,178000,42426,3,2,1232,8925,3,1961,1,10,3
"75",75,168000,42388,4,1.75,1898,8400,3,1962,1,10,3
"76",76,260000,42438,4,3.5,2218,13068,3,1962,1,10,3
"77",77,220000,42425,4,3,1596,13068,3,1960,1,10,3
"78",78,210000,42517,4,2,1721,9735,3,1957,1,10,3
"79",79,177100,42437,3,1,1154,12632.4,3,1957,1,10,3
"80",80,138000,42545,2,1,768,11761.2,3,1941,1,10,3
"81",81,151000,42405,3,1.5,1372,7940,3,1900,1,10,3
"82",82,117300,42412,2,2,829,8260,3,1928,1,10,3
"83",83,155000,42516,2,1.75,1184,10800,3,1910,1,10,3
"84",84,245000,42485,3,2.5,1521,14374.8,3,1967,1,10,3
"85",85,157500,42458,2,1,1142,9000,3,1958,1,10,3
"86",86,155500,42444,3,2,1378,8712,3,1949,1,10,3
"87",87,204500,42523,3,2,1691,10800,3,1949,1,10,3
"88",88,178500,42500,3,2.5,1360,1400,3,1954,1,10,3
"89",89,165000,42439,2,2.5,1500,8712,3,1959,1,10,3
"90",90,138000,42390,3,1.5,1135,7200,3,1955,1,10,3
"91",91,140000,42502,3,2,864,6600,3,1962,1,10,3
"92",92,286000,42431,3,2,1400,326700,3,1976,1,10,3
"93",93,365000,42492,4,3,1403,39204,3,1987,1,10,3
"94",94,260000,42514,3,2,1792,144183.6,3,1880,1,10,3
"95",95,131750,42473,2,1,1001,6060,3,1930,1,10,3
"96",96,350000,42496,3,3.5,1646,3842,3,2008,1,10,3
"97",97,140000,42524,3,1,1181,6900,3,1940,1,10,3
"98",98,255000,42559,5,3,1403,14810.4,3,1996,1,10,3
"99",99,265500,42485,4,3,1596,17424,3,1997,1,10,3
"100",100,250000,42439,5,2.25,1596,10890,3,1999,1,10,3
"101",101,240000,42457,3,2,3057,10722,3,1999,1,10,3
"102",102,265100,42395,3,3,2078,86684.4,3,1974,1,10,3
"103",103,225000,42488,2,1,1501,3903,3,1987,1,10,3
"104",104,230000,42457,3,3,1442,9801,3,2006,1,10,3
"105",105,231000,42552,4,2,1339,8049,3,1990,1,10,3
"106",106,230000,42499,3,2.5,1796,43560,3,1915,1,10,3
"107",107,148000,42453,3,1,1389,3378,3,1946,1,10,3
"108",108,125000,42396,2,2,1131,5720,3,1941,1,10,3
"109",109,217500,42395,4,2,2379,9271,3,1929,1,10,3
"110",110,55500,42500,3,1,1360,4791,3,1910,1,10,3
"111",111,205000,42508,5,2,2548,9600,3,1916,1,10,3
"112",112,126000,42495,4,1,1344,4571,3,1916,1,10,3
"113",113,172500,42461,3,2,1032,11325.6,3,1967,1,10,3
"114",114,134000,42478,3,3,1154,7958,3,1976,1,10,3
"115",115,129900,42468,3,2,1870,2961,1,1973,1,10,1
"116",116,106000,42559,3,1.75,630,1477,3,1970,1,10,3
"117",117,142000,42426,3,1,923,6951,3,1984,1,10,3
"118",118,160000,42513,4,2,1690,8850,3,1916,1,10,3
"119",119,221000,42522,4,3,1274,10382,3,1992,1,10,3
"120",120,320000,42474,4,2.5,3608,23086.8,3,1892,1,10,3
"121",121,195000,42530,5,2,1001,10140,3,1971,1,10,3
"122",122,84500,42436,3,1,1206,11325.6,3,1950,1,10,3
"123",123,162500,42464,2,1.5,1515,4356,3,1953,1,10,3
"124",124,134000,42458,3,2,1028,6242,3,1924,1,10,3
"125",125,150000,42458,3,2,904,6000,3,1926,1,10,3
"126",126,140000,42517,3,2,1010,3720,3,1939,1,10,3
"127",127,115500,42522,2,1,816,6120,3,1928,1,10,3
"128",128,171000,42521,4,1.5,1324,43560,3,1930,1,10,3
"129",129,125500,42411,2,1,776,6840,3,1935,1,10,3
"130",130,135000,42419,3,2,1316,43560,3,1890,1,10,3
"131",131,189000,42527,4,2,1789,10320,3,1940,1,10,3
"132",132,162000,42447,2,1,1037,10319,3,1934,1,10,3
"133",133,472000,42471,5,4,3535,89733.6,3,1979,1,10,3
"134",134,184000,42543,3,3,1330,11325.6,3,1967,1,10,3
"135",135,195000,42502,4,3,1052,11761.2,3,1967,1,10,3
"136",136,197500,42499,4,2,1383,13068,3,1954,1,10,3
"137",137,168000,42521,4,1.75,912,8169,3,1966,1,10,3
"138",138,212000,42536,3,2.25,1818,13939.2,3,1975,1,10,3
"139",139,160000,42464,4,2,1562,10820,3,1971,1,10,3
"140",140,125000,42502,2,2,1934,3400,3,1981,1,10,3
"141",141,316000,42482,4,3.5,1720,20473.2,3,1987,1,10,3
"142",142,180000,42466,3,2,1718,11761.2,3,1910,1,10,3
"143",143,177500,42515,3,2,1366,11325.6,3,1943,1,10,3
"144",144,246500,42549,3,2.75,2697,8751,3,1993,1,10,3
"145",145,377500,42545,4,3.5,3712,16988.4,3,1988,1,10,3
"146",146,292000,42527,4,3.5,2176,10234,3,2001,1,10,3
"147",147,245000,42534,3,4,1961,10106,3,1993,1,10,3
"148",148,172000,42440,4,2,990,8712,3,1994,1,10,3
"149",149,223000,42500,3,2,1759,8905,3,1997,1,10,3
"150",150,198700,42485,3,2,1200,10890,3,1995,1,10,3
"151",151,290000,42551,3,3,2100,413820,3,1997,1,10,3
"152",152,248000,42465,4,3,2476,13068,3,2001,1,10,3
"153",153,188500,42534,3,3,1218,13939.2,3,1978,1,10,3
"154",154,167000,42559,3,1.5,1040,8800,3,1977,1,10,3
"155",155,133500,42473,2,1,780,7200,3,1972,1,10,3
"156",156,270000,42501,4,4,1829,9548,3,2003,1,10,3
"157",157,244500,42506,3,2.5,1948,8712,3,1995,1,10,3
"158",158,244000,42451,4,3,1417,8750,3,1997,1,10,3
"159",159,237000,42528,4,3,1424,11325.6,3,2004,1,10,3
"160",160,162600,42516,2,1.5,1000,11325.6,3,1959,1,10,3
"161",161,184500,42471,4,2.25,2258,3363,3,2004,1,10,3
"162",162,175000,42531,3,2.5,2091,22215.6,3,1978,1,10,3
"163",163,119900,42551,2,1,959,1037,3,1973,1,10,3
"164",164,165000,42524,3,1.5,1498,10000,3,1940,1,10,3
"165",165,181750,42559,4,1.5,1587,10300,3,1931,1,10,3
"166",166,290000,42460,3,2,2080,10890,3,1926,1,10,3
"167",167,290000,42538,4,3,2486,21780,3,1930,1,10,3
"168",168,290000,42523,3,2,1827,13068,3,1939,1,10,3
"169",169,265000,42499,3,2,1567,14374.8,3,1940,1,10,3
"170",170,337500,42556,3,3,2468,10454,3,1940,1,10,3
"171",171,284500,42523,3,3,1828,12196.8,3,1940,1,10,3
"172",172,320000,42431,5,3.5,2463,17424,3,1971,1,10,3
"173",173,220000,42517,2,2,1147,3907,3,1988,1,10,3
"174",174,925000,42517,3,3.5,3535,130680,3,2006,1,10,3
"175",175,565000,42388,5,3,2082,33105.6,3,2009,1,10,3
"176",176,235500,42429,3,3,1557,43560,3,1956,1,10,3
"177",177,268000,42447,4,3,1675,7915,3,1999,1,10,3
"178",178,133500,42444,3,2,1288,3600,3,1917,1,10,3
"179",179,293100,42432,5,4,1935,8004,3,2009,1,10,3
"180",180,457000,42523,4,4,2013,10159,3,2009,1,10,3
"181",181,95000,42566,2,1,784,9000,3,1928,1,10,3
"182",182,145000,42528,3,1,1306,5350,3,1940,1,10,3
"183",183,224500,42536,3,1.5,2019,11325.6,3,1910,1,10,3
"184",184,140000,42418,5,2,1610,18730.8,3,1938,1,10,3
"185",185,372000,42445,2,3,1686,10890,3,2009,1,10,3
"186",186,245000,42471,4,3,1226,10402,3,2009,1,10,3
"187",187,105112,42559,1,1,662,1015,3,2006,1,10,3
"188",188,362000,42549,3,2,1803,107157.6,3,1997,1,10,3
"189",189,359000,42481,4,3,1691,10171,3,2011,1,10,3
"190",190,820000,42401,6,5,6974,36154.8,3,1991,1,10,3
"191",191,195000,42528,6,2,1716,8713,1,1967,1,10,1
"192",192,142000,42468,2,1.75,825,36154.8,3,1959,1,10,3
"193",193,140000,42479,3,1,1248,4800,3,1934,1,10,3
"194",194,52000,42478,1,1,800,6120,3,1936,1,10,3
"195",195,143000,42454,3,2,980,4356,3,1971,1,10,3
"196",196,51000,42517,2,1,827,3600,3,1920,1,10,3
"197",197,140000,42431,4,2.5,1992,12632.4,3,1900,1,10,3
"198",198,156000,42440,3,1,1036,8712,3,1973,1,10,3
"199",199,220000,42468,3,2,1268,8712,3,2009,1,10,3
"200",200,154650,42496,3,2.25,1229,1488,3,1980,1,10,3
"201",201,588000,42500,4,3,3396,43560,3,2016,1,10,3
"202",202,128500,42536,2,1,1343,6487,3,1948,1,10,3
"203",203,352754,42488,3,2,1599,15246,3,2016,1,10,3
"204",204,261000,42515,3,2,2065,8203,3,2015,1,10,3
"205",205,338000,42423,4,2.75,1600,9748,3,2015,1,10,3
"206",206,344000,42437,5,3.25,2226,15681.6,3,2015,1,10,3
"207",207,325000,42495,3,3,1604,8712,3,2015,1,10,3
"208",208,368000,42387,5,4,1589,13068,3,2015,1,10,3
"209",209,275000,42493,4,3,1421,8712,3,2015,1,10,3
"210",210,224900,42536,3,2,952,4207,3,2015,1,10,3
"211",211,525000,42403,4,3.5,2161,13068,3,2013,1,10,3
"212",212,235400,42480,2,1,1456,100188,3,1950,2,33,3
"213",213,279000,42464,3,2,1612,16988.4,3,1962,2,33,3
"214",214,265000,42557,3,2,1646,18730.8,3,1955,2,33,3
"215",215,331000,42521,4,2,2100,27007.2,3,1972,2,33,3
"216",216,393000,42391,5,2.5,2508,28749.6,3,1975,2,33,3
"217",217,290305,42468,4,2.5,1934,27007.2,3,1972,2,33,3
"218",218,318000,42559,4,2,1788,20037.6,3,1970,2,33,3
"219",219,390000,42528,3,3,1910,32670,3,1963,2,33,3
"220",220,460000,42403,4,2.5,2700,35283.6,3,1979,2,33,3
"221",221,409900,42514,3,2,2093,29185.2,3,1984,2,33,3
"222",222,462500,42508,4,2.5,2918,26136,3,1996,2,33,3
"223",223,525000,42485,4,2.5,2000,23958,3,1949,2,33,3
"224",224,213000,42486,3,1,1094,6098,3,1850,2,33,3
"225",225,354000,42564,3,1.5,936,30927.6,3,1949,2,33,3
"226",226,269900,42452,3,2,1602,20908.8,3,1923,2,33,3
"227",227,608000,42522,4,2.5,2108,55321.2,3,1905,2,33,3
"228",228,265000,42566,3,1,1334,38768.4,3,1900,2,33,3
"229",229,409000,42453,4,2.5,2270,23086.8,3,1968,2,33,3
"230",230,265000,42524,3,2.5,1646,12632.4,3,1880,2,33,3
"231",231,374500,42486,3,2,1200,19602,3,1952,2,33,3
"232",232,399000,42492,4,1.5,2484,10500,3,1900,2,33,3
"233",233,299900,42452,3,2,1283,16117.2,3,1946,2,33,3
"234",234,249000,42454,2,1,909,23522.4,3,1947,2,33,3
"235",235,220000,42473,4,1,1312,5227,3,1880,2,33,3
"236",236,3e+05,42426,5,1.5,1924,15681.6,3,1915,2,33,3
"237",237,181000,42422,3,1,1079,6000,3,1900,2,33,3
"238",238,747000,42492,6,2.5,3504,47480.4,3,1891,2,33,3
"239",239,348000,42430,3,2,2192,27007.2,3,1850,2,33,3
"240",240,236900,42545,2,1,1143,12632.4,3,1953,2,33,3
"241",241,229000,42510,3,1.5,1056,25700.4,3,1980,2,33,3
"242",242,260000,42450,4,2,1568,23958,3,1963,2,33,3
"243",243,434100,42548,3,2.5,2114,33541.2,3,1986,2,33,3
"244",244,335000,42447,4,3.5,2040,20037.6,3,1970,2,33,3
"245",245,320500,42402,3,2.5,2025,27442.8,3,1982,2,33,3
"246",246,330000,42522,4,3,1906,10890,3,1993,2,33,3
"247",247,313000,42510,4,3,1260,11761.2,3,1969,2,33,3
"248",248,234000,42482,3,1,1215,12196.8,3,1968,2,33,3
"249",249,394900,42566,4,2.5,1683,45302.4,3,1987,2,33,3
"250",250,345000,42489,4,2,2159,20908.8,3,1987,2,33,3
"251",251,285000,42494,4,1.5,1814,45738,3,1967,2,33,3
"252",252,289000,42509,4,2,1382,20473.2,3,1966,2,33,3
"253",253,269900,42550,3,1.5,1636,21780,3,1966,2,33,3
"254",254,291000,42507,2,1,1348,27442.8,3,1956,2,33,3
"255",255,380000,42558,4,3.5,2443,22651.2,3,1986,2,33,3
"256",256,292000,42535,3,2,1828,100623.6,3,1980,2,33,3
"257",257,545000,42517,4,3.5,3367,24829.2,3,1989,2,33,3
"258",258,375000,42460,4,2.5,2464,27878.4,3,1989,2,33,3
"259",259,415000,42545,3,2.5,2264,42253.2,3,1986,2,33,3
"260",260,415900,42531,4,3,1830,15681.6,3,1962,2,33,3
"261",261,442000,42552,3,3,1602,56628,3,2004,2,33,3
"262",262,610000,42545,5,3,3618,41817.6,3,1979,2,33,3
"263",263,257000,42507,4,2,1221,26136,3,1860,2,33,3
"264",264,415000,42510,4,2.5,3300,72309.6,3,1951,2,33,3
"265",265,374000,42468,4,2,2068,30492,3,1968,2,33,3
"266",266,305000,42458,4,2.5,1848,42688.8,3,1972,2,33,3
"267",267,291500,42507,3,2,1690,31363.2,3,1972,2,33,3
"268",268,287000,42551,3,1.5,1612,43560,3,1973,2,33,3
"269",269,112000,42486,2,2,1040,84070.8,3,2002,2,33,3
"270",270,639900,42562,5,4,3422,37026,3,2005,2,33,3
"271",271,665000,42468,4,3,3360,36590.4,3,2005,2,33,3
"272",272,762500,42467,5,4,3801,40946.4,3,2006,2,33,3
"273",273,627600,42398,4,3,3152,18730.8,3,2015,2,33,3
"274",274,385000,42531,3,2,2592,258746.4,3,1875,3,34,3
"275",275,250000,42479,3,2,1863,15246,3,1967,3,34,3
"276",276,362000,42487,5,4,2464,16552.8,3,1996,3,34,3
"277",277,460000,42510,3,3.5,3132,27007.2,3,1987,3,34,3
"278",278,281000,42524,4,2,1531,9583,3,1965,3,34,3
"279",279,296500,42494,4,2,1395,9583,3,1966,3,34,3
"280",280,311500,42510,3,2,1600,21344.4,3,1968,3,34,3
"281",281,165000,42517,2,1,744,23958,3,1953,3,34,3
"282",282,3e+05,42499,3,1.5,1320,12632.4,3,1955,3,34,3
"283",283,151900,42495,4,1,1148,12196.8,3,1945,3,34,3
"284",284,198100,42489,3,1.5,988,8276,3,1964,3,34,3
"285",285,345000,42510,3,2,1558,8276,3,1964,3,34,3
"286",286,286500,42551,3,1.5,1428,7405,3,1965,3,34,3
"287",287,292600,42488,4,2,1842,6447,3,1962,3,34,3
"288",288,180000,42440,3,1.5,1050,7405,3,1960,3,34,3
"289",289,260000,42509,3,3,2208,7928,3,1981,3,34,3
"290",290,220000,42535,3,3,1200,11761.2,3,1990,3,34,3
"291",291,216000,42440,3,1,1025,10018,3,1959,3,34,3
"292",292,364900,42513,3,2,1600,9583,3,1926,3,34,3
"293",293,188000,42521,3,1,1006,7840,3,1956,3,34,3
"294",294,240000,42503,3,1,1144,6969,3,1950,3,34,3
"295",295,324000,42517,3,2.5,1902,7405,3,1989,3,34,3
"296",296,127100,42472,3,1,1101,10018,3,1994,3,34,3
"297",297,595000,42499,4,3,2575,21344.4,3,1999,3,34,3
"298",298,387500,42537,4,3.5,2277,11325.6,3,1999,3,34,3
"299",299,460000,42466,4,2.5,2932,113256,3,2000,3,34,3
"300",300,950000,42461,5,4.5,3988,42253.2,3,1950,3,34,3
"301",301,525000,42467,4,3,3724,64468.8,3,2003,3,34,3
"302",302,450000,42513,4,3,3193,125888.4,3,1997,3,34,3
"303",303,4e+05,42538,3,3.5,1999,7280,3,1995,3,34,3
"304",304,433000,42489,4,3,2418,8712,3,1968,3,34,3
"305",305,325000,42468,4,3,1944,8276,3,1965,3,34,3
"306",306,438600,42507,4,4,2397,13068,3,1966,3,34,3
"307",307,430000,42482,4,4,2655,7405,3,1988,3,34,3
"308",308,330000,42537,4,3,1944,8276,3,1971,3,34,3
"309",309,385100,42440,4,2.5,2390,9583,3,1983,3,34,3
"310",310,202000,42489,3,4,1500,2178,3,1973,3,34,3
"311",311,243000,42487,4,2,1684,10454,3,1977,3,34,3
"312",312,260000,42440,3,1.5,1308,9147,3,1966,3,34,3
"313",313,399000,42446,4,2.5,2297,6969,3,1963,3,34,3
"314",314,292000,42509,3,2,1646,8276,3,1964,3,34,3
"315",315,280000,42501,3,2,1304,7840,3,1965,3,34,3
"316",316,205000,42452,3,1,988,7840,3,1969,3,34,3
"317",317,236600,42509,3,1.5,988,8276,3,1969,3,34,3
"318",318,385000,42465,4,2,1953,43560,3,1962,3,34,3
"319",319,725000,42524,4,2.5,3362,100188,3,1900,3,34,3
"320",320,201000,42440,3,1,988,9147,3,1964,3,34,3
"321",321,365000,42521,3,3,2122,42253.2,3,1946,3,34,3
"322",322,315000,42479,4,2,1408,10846,3,1960,3,34,3
"323",323,375000,42550,4,3.5,2048,15246,3,1992,3,34,3
"324",324,410000,42493,4,3.1,2046,18295.2,3,1988,3,34,3
"325",325,252000,42438,3,2,1014,8276,3,1957,3,34,3
"326",326,260000,42534,3,2,950,9583,3,1958,3,34,3
"327",327,208000,42472,3,1,1040,6926,3,1956,3,34,3
"328",328,3e+05,42538,4,2.5,1472,7405,3,1960,3,34,3
"329",329,270000,42530,3,1.5,1400,7405,3,1961,3,34,3
"330",330,220000,42461,4,1,1267,7405,3,1961,3,34,3
"331",331,201000,42488,3,1,1024,9147,3,1958,3,34,3
"332",332,239900,42562,3,2,1287,7318,3,1962,3,34,3
"333",333,231500,42562,4,1.5,1287,6969,3,1962,3,34,3
"334",334,280000,42495,3,1,1086,6098,3,1948,3,34,3
"335",335,229000,42491,3,1.5,1107,8494,3,1960,3,34,3
"336",336,130000,42496,3,2,1456,10454,3,1984,3,34,3
"337",337,286000,42524,3,1,1200,6098,3,1954,3,34,3
"338",338,344000,42513,3,2,1605,6098,3,1953,3,34,3
"339",339,231500,42438,3,1,988,6969,3,1954,3,34,3
"340",340,525000,42496,4,3,2001,7840,3,1955,3,34,3
"341",341,269000,42454,4,3,1346,9583,3,1952,3,34,3
"342",342,282000,42556,3,2,864,6969,3,1953,3,34,3
"343",343,290000,42510,4,1.5,1344,23086.8,3,1954,3,34,3
"344",344,290000,42496,4,1,988,7187,3,1967,3,34,3
"345",345,247000,42496,3,1,1073,9583,3,1955,3,34,3
"346",346,275000,42521,4,1.5,1080,5053,3,1947,3,34,3
"347",347,361000,42523,4,2,1272,6534,3,1947,3,34,3
"348",348,423600,42496,3,1,1354,6969,3,1926,3,34,3
"349",349,271000,42433,2,1,1008,15681.6,3,1901,3,34,3
"350",350,385000,42468,3,2,1618,2178,3,1992,3,34,3
"351",351,525000,42440,3,4.5,1812,3920,3,2011,3,34,3
"352",352,255000,42542,3,2,1080,23522.4,3,1952,3,34,3
"353",353,191500,42438,3,1,1237,8276,3,1951,3,34,3
"354",354,260100,42510,2,1,1038,6055,3,1929,3,34,3
"355",355,391725,42493,4,3,1902,10018,3,1967,3,34,3
"356",356,755000,42516,4,2.5,3024,23086.8,3,1974,3,34,3
"357",357,439900,42496,4,3,2089,13068,3,1966,3,34,3
"358",358,393100,42459,4,2.5,2149,12632.4,3,1967,3,34,3
"359",359,551500,42499,4,3.5,2338,23086.8,3,1970,3,34,3
"360",360,497500,42507,4,2,2403,24393.6,3,1972,3,34,3
"361",361,640000,42548,3,3,2867,47480.4,3,1960,3,34,3
"362",362,957625,42443,3,4.5,3272,15681.6,3,1962,3,34,3
"363",363,663000,42494,3,4,2360,20908.8,3,1968,3,34,3
"364",364,550000,42494,5,3.5,3483,19166.4,3,2016,3,34,3
"365",365,925000,42479,3,3.5,3588,33976.8,3,1927,3,34,3
"366",366,309900,42514,3,2,1190,6969,3,1941,3,34,3
"367",367,553000,42545,3,2,1606,8712,3,1901,3,34,3
"368",368,225000,42444,3,1,980,3441,3,1912,3,34,3
"369",369,475000,42507,3,2,1846,3049,3,1913,3,34,3
"370",370,417000,42527,3,3,1700,3528,3,1901,3,34,3
"371",371,314000,42459,3,1,980,4356,3,1920,3,34,3
"372",372,340000,42516,3,1,1282,3484,3,1911,3,34,3
"373",373,360000,42510,3,1.5,1320,5808,3,1915,3,34,3
"374",374,250000,42468,3,2,1044,2919,3,1910,3,34,3
"375",375,285000,42499,3,1,1050,4356,3,1918,3,34,3
"376",376,385000,42489,3,2,1380,3049,3,1916,3,34,3
"377",377,711000,42494,3,2.5,2286,6969,3,1882,3,34,3
"378",378,410000,42468,4,2,1926,6316,3,1950,3,34,3
"379",379,430000,42489,3,2,1414,6534,3,1942,3,34,3
"380",380,346000,42531,3,2,1080,6098,3,1948,3,34,3
"381",381,382000,42501,2,1,1079,4356,3,1926,3,34,3
"382",382,425000,42459,2,2,1456,8712,3,1885,3,34,3
"383",383,397500,42494,3,2,1534,6534,3,1901,3,34,3
"384",384,489900,42459,4,3,2179,5662,3,1924,3,34,3
"385",385,347000,42480,3,2,1167,5227,3,1932,3,34,3
"386",386,385000,42496,3,3,1400,5488,1,1919,3,34,1
"387",387,376000,42454,3,2,1411,4399,3,1925,3,34,3
"388",388,360000,42472,3,1.5,1411,7884,3,1949,3,34,3
"389",389,319000,42522,3,2,1274,7405,3,1951,3,34,3
"390",390,575000,42475,3,3,2100,6534,3,1932,3,34,3
"391",391,562000,42509,3,2,2001,10018,3,1946,3,34,3
"392",392,449000,42463,4,3,2400,6534,3,1954,3,34,3
"393",393,629900,42537,6,2,2916,6969,3,1946,3,34,3
"394",394,250000,42515,2,2,768,7013,3,1947,3,34,3
"395",395,336200,42473,3,2,1370,4791,3,1948,3,34,3
"396",396,675000,42461,2,2,1249,10803,3,1926,3,34,3
"397",397,348500,42500,3,1,1560,10890,3,1918,3,34,3
"398",398,366000,42472,3,2,1735,6534,3,1929,3,34,3
"399",399,270000,42480,3,1,1248,8276,3,1929,3,34,3
"400",400,150000,42453,4,2,1570,14374.8,3,1901,3,34,3
"401",401,679000,42507,3,3,2224,8276,3,1925,3,34,3
